NAME,STATE,POPULATION
Atlantic City city,New Jersey,38429
Hollister city,California,38404
Martinez city,California,38373
Lynnwood city,Washington,38273
Columbia city,Tennessee,38266
Aventura city,Florida,38202
Muskegon city,Michigan,38131
Tupelo city,Mississippi,38114
Rock Island city,Illinois,38110
Lake Worth city,Florida,38107
Brookfield city,Wisconsin,38045
Huber Heights city,Ohio,37986
Meridian city,Mississippi,37940
Muskogee city,Oklahoma,37858
Reynoldsburg city,Ohio,37847
Florence city,South Carolina,37778
Hobbs city,New Mexico,37764
Rosenberg city,Texas,37661
Longview city,Washington,37602
Grants Pass city,Oregon,37579
Dover city,Delaware,37538
Spartanburg city,South Carolina,37498
Park Ridge city,Illinois,37494
Issaquah city,Washington,37487
Olive Branch city,Mississippi,37435
Gallatin city,Tennessee,37351
Texarkana city,Texas,37333
Braintree Town city,Massachusetts,37156
Lima city,Ohio,37149
Farmers Branch city,Texas,37088
West Hollywood city,California,37080
Monrovia city,California,37061
Panama City city,Florida,36986
San Juan city,Texas,36981
Wildomar city,California,36932
Hot Springs city,Arkansas,36915
Greenfield city,Wisconsin,36827
Moorpark city,California,36802
Cottage Grove city,Minnesota,36793
Beloit city,Wisconsin,36773
Portage city,Indiana,36672
Lincoln Park city,Michigan,36655
Winter Springs city,Florida,36635
Calumet City city,Illinois,36633
